Body,Department,Priority,Tags
Hello please send me the feature comparison for your analytics tool plans,Sales and Pre-Sales,Low,sales inquiry
Good morning i have a question regarding my dental coverage enrollment,Human Resources,Low,reimbursement claim
Need support i would like to review my retirement plan options for next year,Human Resources,Low,hr portal
Reporting an issue can you provide pricing details for the backup solution package,Sales and Pre-Sales,Low,license upgrade
I have not received the receipt for last month's annual contract,Billing and Payments,Medium,duplicate charge
FYI please update my emergency contact in my contact details,Human Resources,Low,enrollment benefits
My office PC cannot detect the network switch anymore,Technical Support,High,vpn network
Following up my bereavement leave request has not been approved yet,Human Resources,Medium,tax document
For your attention requesting a copy of the invoice for our accounting records,Billing and Payments,Low,statement billing
Good morning my tablet shows a runtime error immediately after startup,Technical Support,Medium,authentication error
Kindly assist i want to enroll in the company childcare benefit program,Human Resources,Medium,leave request
Requesting assistance i need a refund for the a duplicate transaction on my last billing statement,Billing and Payments,Low,statement billing
Need support the username reset link for the file server is not working,Technical Support,High,laptop hardware
Reporting an issue i would like to learn more about the CRM system before purchasing,Sales and Pre-Sales,High,trial evaluation
Following up there is a discrepancy in the unit price on my bill,Billing and Payments,Medium,refund billing
FYI our premium plan was billed before the trial period ended,Billing and Payments,Low,payment failed
Requesting assistance i need help configuring Teams on my new desktop,Billing and Payments,Critical,active directory
Requesting assistance i need clarification on the processing fee in this month's invoice,Billing and Payments,Medium,refund billing
Please help i need clarification on the total amount in this month's invoice,Billing and Payments,Medium,overcharge dispute
Requesting assistance i want to renew our contract and expand our enterprise usage,Sales and Pre-Sales,Medium,trial evaluation
Requesting assistance requesting a copy of the bill for our accounting records,Billing and Payments,High,purchase order
Hello why does my invoice show a unit price higher than expected,Billing and Payments,High,overcharge dispute
Hi team the wireless network connection drops repeatedly during file transfers,Billing and Payments,High,software install
Hi team my unpaid leave request has not been approved yet,Human Resources,Low,employment letter
Following up my reimbursement for expense claim has not been processed,Human Resources,Low,payroll salary
Following up i have not received the monthly statement for last month's monthly plan,Billing and Payments,Medium,duplicate charge
Hi team my return request for the monitor has not been approved yet,Returns and Exchanges,Low,shipping damage
Hi team i would like a quote for fifty units of your monitoring platform,Technical Support,Low,sales inquiry
For your attention the tablet will not wake from sleep even after restarting it,Technical Support,Critical,vpn network
Reporting an issue i have a question regarding my wellness program enrollment,Human Resources,Low,tax document
Good morning we need a scalable CRM system solution for ten users,Sales and Pre-Sales,Medium,quote pricing
FYI i suspect my office PC was infected while accessing the shared drive,Technical Support,Medium,password login
Kindly assist the marital status on my employee record is incorrect,Human Resources,Medium,payroll salary
Urgent my refund for the returned monitor has not arrived yet,Returns and Exchanges,Low,exchange product
Need support we are evaluating your storage plan for our organization,Sales and Pre-Sales,Low,trial evaluation
For your attention a duplicate charge for hosting service appeared on my invoice,Billing and Payments,Medium,payment failed
Hi team please explain the processing fee added to my latest billing statement,Billing and Payments,Medium,purchase order
Need support my notebook froze completely while running OneDrive,Technical Support,High,active directory
Quick question i would like a full refund for the faulty laptop,Returns and Exchanges,Low,exchange product
Reporting an issue i want to discuss a bulk purchase of several software suite licenses,Sales and Pre-Sales,High,proposal request
Urgent our annual contract was billed before the trial period ended,Billing and Payments,Low,overcharge dispute
For your attention my desktop is making noise after the recent antivirus update,Technical Support,Critical,cloud storage
Quick question the printer I ordered is broken straight out of the box,Returns and Exchanges,High,store credit
Following up please explain the total amount added to my latest monthly statement,Billing and Payments,Low,subscription charge
Quick question the refund I requested for hosting service has not been processed yet,Billing and Payments,Medium,refund billing
Hi team i need access to my tax form through the employee portal,Human Resources,High,tax document
Following up i want to enroll in the company vision coverage program,Human Resources,Low,onboarding paperwork
Urgent my shift allowance from last month is still outstanding,Human Resources,High,payroll salary
For your attention what are the licensing options for the analytics tool,Sales and Pre-Sales,Low,enterprise plan
Quick question i need to return the webcam as it is incompatible with my setup,Returns and Exchanges,Medium,damaged item
Please help my home address update in the portal is still showing as pending,Human Resources,High,leave request
Quick question the keyboard arrived late and is no longer needed,Returns and Exchanges,Low,return label
Please help can I exchange this scanner for a newer model,Returns and Exchanges,High,defective hardware
Hello my authentication token is not working for the intranet,Technical Support,High,server access
Hello my sick leave balance was not updated after my last request,Human Resources,High,employment letter
Kindly assist can you provide pricing details for the cloud platform package,Sales and Pre-Sales,Low,license upgrade
Quick question my the CRM application mailbox is not syncing after the firmware update,Technical Support,Critical,active directory
Following up can you provide pricing details for the collaboration suite package,Sales and Pre-Sales,Low,subscription renewal
Kindly assist i need help configuring the internal portal on my new tablet,Technical Support,Critical,authentication error
Need support the VPN is extremely slow when I try to backup operations,Billing and Payments,Critical,authentication error
Good morning the WiFi connection drops repeatedly during online meetings,Technical Support,Medium,software install
Please help i need to submit my allowance for approval this cycle,Human Resources,Medium,payroll salary
Good morning please correct the total amount listed on my recent invoice,Billing and Payments,Medium,payment failed
Need support my SharePoint mailbox is not syncing after the Office 365 update,Billing and Payments,Critical,outlook email
Quick question requesting an exchange for the office chair due to it being not working,Returns and Exchanges,Low,exchange product
FYI my childcare benefit deduction seems higher than expected this month,Human Resources,Low,payroll salary
Hi team my salary slip shows an incorrect allowance,Human Resources,Medium,leave request
Need support i need access to my salary certificate through the employee portal,Human Resources,Low,leave request
Please help the office chair does not work with our existing equipment,Returns and Exchanges,Medium,wrong item
I want to opt out of the gym membership for the next enrollment period,Human Resources,Medium,hr portal
Good morning my holiday pay was not included in this month's payment,Human Resources,High,tax document
Need support requesting a copy of the monthly statement for our accounting records,Billing and Payments,Medium,tax invoice
Kindly assist i would like to apply for study leave starting next month,Human Resources,High,leave request
Urgent the replacement headset I received is also the wrong model,Returns and Exchanges,Low,exchange product
Kindly assist i have not received the invoice for last month's premium plan,Human Resources,High,invoice payment
FYI my subscription renewal shows an unexpected late fee,Billing and Payments,Low,tax invoice
For your attention requesting an exchange for the laptop due to it being broken,Returns and Exchanges,High,shipping damage
FYI can you clarify the company policy regarding life insurance,Human Resources,Medium,payroll salary
Hello i need a letter confirming my employment for salary certificate purposes,Human Resources,Medium,employment letter
Following up i have a question regarding my health insurance enrollment,Human Resources,Low,employment letter
Please help requesting installation of the ERP system on my work docking station,Technical Support,Low,laptop hardware
Following up my the internal portal mailbox is not syncing after the Windows update,Technical Support,Medium,active directory
For your attention i would like to apply for bereavement leave starting next month,Returns and Exchanges,Low,enrollment benefits
Need support please explain the line item added to my latest billing statement,Billing and Payments,Medium,purchase order
FYI i am disputing a an extra fee that appeared on my bill,Billing and Payments,Medium,refund billing
FYI my bank transfer was declined when paying the monthly statement,Billing and Payments,Medium,tax invoice
Reporting an issue the printer keeps disconnecting from my company phone,Technical Support,Critical,laptop hardware
Requesting assistance my docking station is not turning on after the recent Windows update,Technical Support,Critical,laptop hardware
My Teams mailbox is not syncing after the antivirus update,Technical Support,Critical,printer issue
Please help the printer in the office is not turning on and needs attention,Technical Support,High,password login
The bill shows a total amount that I do not recognize,Billing and Payments,Medium,duplicate charge
Hello the returned webcam was received but no refund was issued,Returns and Exchanges,Medium,wrong item
For your attention requesting a return authorization for the defective printer,Returns and Exchanges,Medium,replacement request
FYI i would like to apply for unpaid leave starting next month,Returns and Exchanges,Low,reimbursement claim
Following up i have not received the account statement for last month's hosting service,Billing and Payments,High,payment failed
Kindly assist i am disputing a a duplicate transaction that appeared on my account statement,Billing and Payments,Medium,payment failed
Requesting assistance there is a blue screen appearing when I access the backup server,Technical Support,Critical,password login
FYI what discounts are available for annual premium contracts,Sales and Pre-Sales,Medium,bulk purchase
Kindly assist the laptop I ordered is the wrong model straight out of the box,Returns and Exchanges,Medium,damaged item
Hi team my office PC froze completely while running the internal portal,Technical Support,Critical,wifi connection
Following up the the accounting software keeps crashing whenever I try to share my screen,Technical Support,High,cloud storage
Need support the OneDrive on my company phone will not open after the security patch update,Technical Support,High,software install
Requesting assistance i need a refund for the an overcharge on my last receipt,Billing and Payments,Medium,payment failed
Following up i need a letter confirming my employment for income proof purposes,Returns and Exchanges,Low,hr portal
For your attention my return request for the printer has not been approved yet,Returns and Exchanges,Medium,store credit
Following up requesting an exchange for the printer due to it being malfunctioning,Returns and Exchanges,Medium,return refund
Need support requesting an extension on my bereavement leave due to personal reasons,Human Resources,Medium,onboarding paperwork
Quick question my desktop cannot detect the printer anymore,Technical Support,High,outlook email
Hi team i need help configuring the CRM application on my new workstation,Technical Support,Low,printer issue
Reporting an issue requesting an exchange for the docking station due to it being defective,Returns and Exchanges,Medium,return label
FYI i need to update my direct deposit information in the employee portal,Human Resources,Medium,reimbursement claim
Please help my return request for the monitor has not been approved yet,Returns and Exchanges,Medium,defective hardware
Urgent please correct the unit price listed on my recent invoice,Billing and Payments,Medium,purchase order
Please share information about your enterprise analytics tool options,Sales and Pre-Sales,Medium,sales inquiry
Hello a duplicate charge for monthly plan appeared on my invoice,Billing and Payments,Low,invoice payment
For your attention the invoice generated this month contains incorrect subscription fee,Billing and Payments,Low,purchase order
For your attention there is a discrepancy in the service charge on my bill,Human Resources,High,statement billing
Need support please help me understand the disability insurance claim process,Human Resources,High,employee benefits
Kindly assist i need to submit my overtime pay for approval this cycle,Human Resources,High,reimbursement claim
Need support i need a refund for the an incorrect amount on my last billing statement,Billing and Payments,Low,purchase order
Kindly assist i suspect my tablet was infected while accessing the file server,Technical Support,Critical,authentication error
Quick question requesting installation of Zoom on my work office PC,Technical Support,Medium,password login
FYI i would like a quote for fifteen units of your software suite,Sales and Pre-Sales,Low,sales inquiry
FYI requesting a copy of the receipt for our accounting records,Billing and Payments,Medium,refund billing
Hi team i need a refund for the an incorrect amount on my last bill,Billing and Payments,High,refund billing
Requesting assistance there is an error in the expense claim on my payslip,Returns and Exchanges,Low,hr portal
Good morning my account is locked out of the shared drive after multiple attempts,Technical Support,High,authentication error
Please help the keyboard is missing parts and I would like to return it,Returns and Exchanges,Medium,shipping damage
Hello the subscription fee on invoice does not match our agreed contract,Billing and Payments,Low,overcharge dispute
Good morning there is a discrepancy in the line item on my monthly statement,Billing and Payments,Low,duplicate charge
Please help i would like a quote for five units of your monitoring platform,Sales and Pre-Sales,Low,enterprise plan
Reporting an issue the network switch in the office is not charging and needs attention,Technical Support,Medium,server access
Hi team unable to access the file server due to an authentication error,Technical Support,High,authentication error
Good morning i suspect my notebook was infected while accessing the file server,Technical Support,Low,system update
Following up the password reset link for the employee portal is not working,Technical Support,High,active directory
For your attention i need to return the mouse because it is faulty,Returns and Exchanges,Low,exchange product
Good morning requesting installation of Zoom on my work monitor,Technical Support,High,server access
Need support my subscription renewal shows an unexpected currency conversion,Billing and Payments,Low,duplicate charge
Hi team requesting a proposal for deploying collaboration suite across our team,Sales and Pre-Sales,Medium,proposal request
Reporting an issue i would like to request my income proof for a loan application,Human Resources,High,onboarding paperwork
Please help how do I exchange the printer for the correct version,Returns and Exchanges,Low,replacement request
The company intranet is extremely slow when I try to large downloads,Technical Support,High,system update
Hello i would like a quote for fifteen units of your software suite,Sales and Pre-Sales,Low,proposal request
Quick question my vacation time balance was not updated after my last request,Human Resources,High,enrollment benefits
Hi team i need clarification on the total amount in this month's invoice,Billing and Payments,High,payment failed
Hello i want to send back the docking station and receive store credit,Returns and Exchanges,Medium,shipping damage
Urgent we are considering switching to your enterprise solution,Sales and Pre-Sales,Low,quote pricing
Please help i would like a quote for thirty units of your storage plan,Sales and Pre-Sales,Low,proposal request
Hello getting a security warning when connecting to the office network,Technical Support,Critical,wifi connection
Urgent my allowance was not included in this month's payment,Human Resources,Medium,onboarding paperwork
Requesting assistance can your team provide a customized quote for storage plan,Sales and Pre-Sales,High,license upgrade
Following up i cannot connect to the company WiFi from abroad,Billing and Payments,High,laptop hardware
Following up i want to send back the laptop and receive store credit,Returns and Exchanges,Low,return refund
Reporting an issue i am disputing a an extra fee that appeared on my account statement,Billing and Payments,Low,overcharge dispute
FYI we need a scalable storage plan solution for ten users,Sales and Pre-Sales,Low,product demo
Requesting assistance my auto-payment for the monthly plan failed this billing cycle,Billing and Payments,Medium,payment failed
Hello my reimbursement for expense claim has not been processed,Human Resources,High,enrollment benefits
Good morning what discounts are available for annual enterprise contracts,Sales and Pre-Sales,Low,product demo
Requesting assistance i was charged an extra fee for my subscription subscription,Human Resources,High,statement billing
Hello i am getting a connection error when opening the ERP system,Technical Support,High,printer issue
Hello the invoice generated this month contains incorrect late fee,Billing and Payments,High,tax invoice
Good morning the Zoom on my notebook will not open after the antivirus update,Technical Support,Medium,active directory
FYI there is an error in the allowance on my payslip,Human Resources,Medium,enrollment benefits
Need support i need access to my tax statement through the employee portal,Human Resources,High,employee benefits
Following up please help me understand the health insurance claim process,Human Resources,Low,onboarding paperwork
Requesting assistance i want to discuss a bulk purchase of several storage plan licenses,Sales and Pre-Sales,Low,bulk purchase
FYI my salary slip shows an incorrect overtime pay,Human Resources,Low,hr portal
Please correct the subscription fee listed on my recent invoice,Billing and Payments,Low,invoice payment
For your attention i need to return the headset as it is incompatible with my setup,Returns and Exchanges,Low,return label
Kindly assist the billing system charged me twice for the same subscription,Billing and Payments,Medium,subscription charge
Kindly assist the personal information change I submitted has not reflected in the system,Human Resources,Low,enrollment benefits
Following up we need a scalable software suite solution for ten users,Sales and Pre-Sales,Medium,trial evaluation
Hi team please send me the feature comparison for your analytics tool plans,Technical Support,Low,product demo
Reporting an issue please help me understand the benefits claim process,Human Resources,Low,hr portal
For your attention the office network connection drops repeatedly during peak hours,Technical Support,High,system update
Requesting assistance the monitor does not match what was described in my order,Returns and Exchanges,Low,exchange product
Kindly assist the router does not work with our existing equipment,Sales and Pre-Sales,Low,return label
Kindly assist i want to send back the webcam and receive store credit,Returns and Exchanges,Medium,replacement request
Kindly assist i suspect my notebook was infected while accessing Azure,Technical Support,High,printer issue
Following up please confirm the status of my unpaid leave application,Human Resources,High,enrollment benefits
Hi team can I exchange this laptop for a newer model,Returns and Exchanges,Medium,exchange product
Requesting assistance can you provide pricing details for the cloud platform package,Sales and Pre-Sales,Medium,subscription renewal
Need support i cannot log into Active Directory using multi-factor authentication,Technical Support,High,authentication error
FYI the headset in the office is displaying errors and needs attention,Technical Support,Critical,active directory
Quick question i would like to review my health insurance options for next year,Human Resources,Medium,employment letter
Please help i would like a quote for two hundred units of your monitoring platform,Technical Support,Medium,product demo
Requesting assistance my sick leave balance was not updated after my last request,Human Resources,High,payroll salary
Kindly assist i want to discuss a bulk purchase of two hundred cloud platform licenses,Sales and Pre-Sales,Medium,trial evaluation
Need support requesting clarification on my remaining maternity leave balance,Human Resources,Medium,hr portal
Following up i want to renew our contract and expand our licensing usage,Sales and Pre-Sales,Medium,license upgrade
Good morning i cannot connect to the company wireless network from home,Technical Support,Low,laptop hardware
The mouse does not match what was described in my order,Returns and Exchanges,Medium,return refund
Reporting an issue please process a return label for the docking station I purchased,Returns and Exchanges,Medium,defective hardware
Kindly assist requesting an update to my phone number after a recent change,Human Resources,Low,employment letter
Urgent can your team provide a customized quote for CRM system,Sales and Pre-Sales,Low,trial evaluation
Need support i want to discuss a bulk purchase of several monitoring platform licenses,Sales and Pre-Sales,High,proposal request
Requesting assistance the mouse does not match what was described in my order,Returns and Exchanges,Medium,damaged item
Following up the contact details change I submitted has not reflected in the system,Human Resources,Medium,enrollment benefits
Good morning the office PC will not recognize the printer even after restarting it,Technical Support,Critical,authentication error
Hello requesting installation of Zoom on my work workstation,Technical Support,High,password login
Please help the keyboard arrived late and is no longer needed,Returns and Exchanges,Low,return label
Good morning please arrange a call to discuss our subscription requirements,Sales and Pre-Sales,High,product demo
Hi team the invoice shows a total amount that I do not recognize,Billing and Payments,Medium,subscription charge
Good morning please confirm the status of my parental leave application,Human Resources,High,hr portal
Following up i would like to review my benefits options for next year,Human Resources,High,leave request
For your attention my auto-payment for the cloud storage failed this billing cycle,Billing and Payments,High,invoice payment
Good morning requesting a return authorization for the defective docking station,Returns and Exchanges,Low,replacement request
Kindly assist i need clarification on the processing fee in this month's invoice,Billing and Payments,High,duplicate charge
For your attention requesting a copy of the bill for our accounting records,Billing and Payments,Medium,statement billing
Following up i was billed for support package that we already cancelled,Human Resources,Medium,tax invoice
Reporting an issue requesting a copy of the billing statement for our accounting records,Billing and Payments,Medium,purchase order
For your attention i am getting a connection error when opening Outlook,Technical Support,High,vpn network
I want to exchange the office chair for a different configuration,Returns and Exchanges,Medium,return label
Good morning the headset is missing parts and I would like to return it,Returns and Exchanges,Medium,return refund
The company intranet connection drops repeatedly during screen sharing,Billing and Payments,High,outlook email
Following up can you resend my pay stub as I did not receive it,Human Resources,Low,employee benefits
Need support please send me the feature comparison for your analytics tool plans,Sales and Pre-Sales,Medium,sales inquiry
Hello the PIN reset link for Azure is not working,Technical Support,Critical,wifi connection
I need to return the tablet because it is the wrong model,Returns and Exchanges,High,return label
Please help i was charged a double payment for my hosting service subscription,Billing and Payments,Low,subscription charge
Following up we need a scalable cloud platform solution for one hundred users,Sales and Pre-Sales,Low,subscription renewal
FYI requesting information about my childcare benefit coverage,Human Resources,Low,tax document
Requesting assistance requesting an update to my profile information after a recent change,Human Resources,Low,payroll salary
Need support i received the wrong office chair in my recent order,Returns and Exchanges,Medium,return label
Reporting an issue my maternity leave request has not been approved yet,Returns and Exchanges,High,enrollment benefits
Reporting an issue my account is locked out of the file server after multiple attempts,Technical Support,Critical,wifi connection
Quick question why does my invoice show a line item higher than expected,Billing and Payments,Medium,statement billing
I would like to return the printer I received last week,Returns and Exchanges,Low,exchange product
For your attention i would like a full refund for the not working printer,Returns and Exchanges,Medium,replacement request
There is a discrepancy in the currency conversion on my account statement,Billing and Payments,Medium,duplicate charge
FYI my username is not working for the database,Technical Support,Medium,printer issue
Good morning the personal information on my employee record is incorrect,Returns and Exchanges,Low,onboarding paperwork
Kindly assist i would like to return the external drive I received last week,Returns and Exchanges,Low,exchange product
Kindly assist my desktop cannot detect the monitor anymore,Technical Support,Low,system update
Following up please send me the feature comparison for your storage plan plans,Sales and Pre-Sales,Low,bulk purchase
Reporting an issue the tablet will not boot up even after restarting it,Technical Support,High,cloud storage
Kindly assist please provide details on the implementation timeline for security solution,Sales and Pre-Sales,Low,license upgrade
Kindly assist i have not received the monthly statement for last month's software license,Billing and Payments,Medium,refund billing
Urgent my laptop froze completely while running SharePoint,Technical Support,High,authentication error
Hello my expense claim from last month is still outstanding,Human Resources,High,enrollment benefits
FYI my deduction from last month is still outstanding,Human Resources,Medium,enrollment benefits
Please help please process a return label for the docking station I purchased,Returns and Exchanges,Low,store credit
Urgent my bonus from last month is still outstanding,Human Resources,Low,onboarding paperwork
Reporting an issue please share information about your enterprise monitoring platform options,Sales and Pre-Sales,Low,proposal request
FYI my auto-payment for the monthly plan failed this billing cycle,Billing and Payments,Low,duplicate charge
Hi team requesting clarification on my remaining paternity leave balance,Human Resources,Medium,hr portal
I need a refund for the an unauthorized charge on my last account statement,Billing and Payments,Medium,overcharge dispute
Hi team requesting clarification on my remaining bereavement leave balance,Human Resources,Medium,enrollment benefits
Hi team i want to enroll in the company disability insurance program,Human Resources,Low,employment letter
Good morning requesting clarification on my remaining vacation time balance,Human Resources,High,enrollment benefits
Kindly assist my expense claim was not included in this month's payment,Human Resources,High,tax document
For your attention the refund I requested for hosting service has not been processed yet,Billing and Payments,Medium,payment failed
Hi team the invoice generated this month contains incorrect line item,Human Resources,Low,tax invoice
Need support my auto-payment for the cloud storage failed this billing cycle,Billing and Payments,Low,invoice payment
Please help my tablet froze completely while running Exchange,Technical Support,Critical,software install
Requesting assistance our cloud storage was billed before the trial period ended,Billing and Payments,Low,invoice payment
Hello what is the onboarding process for new security solution customers,Sales and Pre-Sales,Medium,sales inquiry
Please help please correct the processing fee listed on my recent invoice,Billing and Payments,Low,duplicate charge
Quick question how do I exchange the laptop for the correct size,Returns and Exchanges,Medium,damaged item
Need support please explain the tax information added to my latest billing statement,Billing and Payments,Medium,overcharge dispute
Good morning the VPN is extremely slow when I try to screen sharing,Technical Support,High,software install
Kindly assist the profile information change I submitted has not reflected in the system,Human Resources,Low,hr portal
Urgent the purchase order was billed at the wrong late fee,Billing and Payments,Medium,subscription charge
Hi team the Exchange on my docking station will not open after the security patch update,Technical Support,Medium,active directory
Hello i would like to return the external drive I received last week,Sales and Pre-Sales,Medium,wrong item
Good morning the invoice generated this month contains incorrect unit price,Billing and Payments,Medium,refund billing
Reporting an issue the replacement printer I received is also incomplete,Returns and Exchanges,High,wrong item
For your attention my retirement plan deduction seems higher than expected this month,Returns and Exchanges,High,payroll salary
Please help my office PC shows a certificate warning immediately after startup,Technical Support,Critical,server access
Hello my bank transfer was declined when paying the receipt,Billing and Payments,Low,refund billing
For your attention the password reset link for the intranet is not working,Technical Support,Critical,server access
Reporting an issue the keyboard keeps disconnecting from my monitor,Technical Support,High,printer issue
Need support the headset stopped working within days of delivery,Returns and Exchanges,Medium,wrong item
Reporting an issue can I exchange this laptop for a newer model,Returns and Exchanges,High,wrong item
For your attention how do I exchange the laptop for the correct specification,Returns and Exchanges,Low,store credit
Quick question i was billed for cloud storage that we already cancelled,Billing and Payments,Medium,refund billing
Requesting assistance the exchange for my router was never shipped out,Sales and Pre-Sales,Medium,store credit
Reporting an issue requesting an update to my personal information after a recent change,Human Resources,High,onboarding paperwork
Good morning the returned tablet was received but no refund was issued,Returns and Exchanges,Low,replacement request
Urgent i am getting a access denied message when opening Teams,Technical Support,Critical,vpn network
Following up can your team provide a customized quote for backup solution,Sales and Pre-Sales,Low,quote pricing
Urgent requesting a trial version of the cloud platform for evaluation,Sales and Pre-Sales,Medium,proposal request
FYI requesting clarification on my remaining vacation time balance,Human Resources,Low,reimbursement claim
Requesting an exchange for the office chair due to it being broken,Returns and Exchanges,Medium,return refund
Reporting an issue we need a scalable software suite solution for five users,Sales and Pre-Sales,Medium,license upgrade
Kindly assist the SharePoint keeps crashing whenever I try to access the dashboard,Technical Support,High,active directory
Requesting assistance my corporate card was declined when paying the billing statement,Billing and Payments,Low,invoice payment
Hello the replacement tablet I received is also malfunctioning,Returns and Exchanges,Medium,shipping damage
Following up my allowance was not included in this month's payment,Human Resources,Low,hr portal
Please help the external drive in the office is not turning on and needs attention,Technical Support,High,printer issue
Reporting an issue the wireless network connection drops repeatedly during online meetings,Technical Support,Critical,server access
Hello requesting a proposal for deploying monitoring platform across our team,Sales and Pre-Sales,Low,license upgrade
Reporting an issue what are the licensing options for the backup solution,Sales and Pre-Sales,Low,quote pricing
Need support the phone number on my employee record is incorrect,Human Resources,Low,enrollment benefits
Need support the mouse I ordered arrived not working and I need a replacement,Returns and Exchanges,Low,replacement request
Reporting an issue my reimbursement for bonus has not been processed,Human Resources,Low,employment letter
Requesting assistance requesting a proposal for deploying cloud platform across our team,Sales and Pre-Sales,High,trial evaluation
Reporting an issue the profile information on my employee record is incorrect,Human Resources,Low,reimbursement claim
Need support my office PC froze completely while running Outlook,Technical Support,High,active directory
Good morning could you share case studies for your software suite in our industry,Technical Support,Low,enterprise plan
I want to exchange the printer for a different model,Sales and Pre-Sales,Medium,return label
Need support i want to discuss a bulk purchase of thirty security solution licenses,Sales and Pre-Sales,Low,product demo
FYI please send me the feature comparison for your monitoring platform plans,Sales and Pre-Sales,Low,bulk purchase
Please provide details on the implementation timeline for monitoring platform,Sales and Pre-Sales,Medium,product demo
Kindly assist requesting information about my childcare benefit coverage,Human Resources,High,tax document
Following up i would like a quote for fifteen units of your backup solution,Sales and Pre-Sales,Low,license upgrade
Requesting assistance the returned router was received but no refund was issued,Returns and Exchanges,Medium,damaged item
Please help the Teams keeps crashing whenever I try to generate a report,Technical Support,Critical,printer issue
Quick question we need a scalable CRM system solution for five users,Sales and Pre-Sales,Medium,quote pricing
Kindly assist requesting a trial version of the monitoring platform for evaluation,Sales and Pre-Sales,Medium,trial evaluation
For your attention requesting information about my childcare benefit coverage,Human Resources,Medium,onboarding paperwork
Urgent the replacement printer I received is also scratched,Returns and Exchanges,Low,wrong item
Hello requesting an exchange for the docking station due to it being damaged,Returns and Exchanges,Medium,store credit
Hello what discounts are available for annual licensing contracts,Sales and Pre-Sales,Low,license upgrade
Hello the billing system charged me twice for the same support package,Billing and Payments,High,refund billing
Urgent why does my bill show a discount higher than expected,Billing and Payments,Low,invoice payment
Requesting assistance the webcam I ordered arrived malfunctioning and I need a replacement,Returns and Exchanges,Medium,replacement request
Please help can you clarify the company policy regarding gym membership,Human Resources,High,hr portal
Reporting an issue requesting information about my wellness program coverage,Human Resources,High,payroll salary
For your attention please process a return label for the docking station I purchased,Returns and Exchanges,Low,return refund
FYI my direct debit was declined when paying the monthly statement,Billing and Payments,Medium,statement billing
Kindly assist the authentication token reset link for the shared drive is not working,Billing and Payments,High,printer issue
Hello what discounts are available for annual enterprise contracts,Sales and Pre-Sales,Medium,license upgrade
FYI i need clarification on the total amount in this month's invoice,Human Resources,High,overcharge dispute
Good morning please help me understand the vision coverage claim process,Human Resources,High,payroll salary
Hello the returned printer was received but no refund was issued,Returns and Exchanges,Low,return refund
Requesting assistance please confirm the status of my paternity leave application,Human Resources,High,tax document
Following up can your team provide a customized quote for analytics tool,Sales and Pre-Sales,Medium,license upgrade
Hi team can you resend my tax form as I did not receive it,Human Resources,Low,employment letter
Need support please explain the tax information added to my latest bill,Billing and Payments,High,purchase order
Urgent i was charged an extra fee for my premium plan subscription,Billing and Payments,Low,duplicate charge
For your attention how do I exchange the webcam for the correct version,Returns and Exchanges,Low,shipping damage
Please help my deduction was not included in this month's payment,Human Resources,Medium,reimbursement claim
For your attention the tax information on invoice does not match our agreed contract,Billing and Payments,Medium,refund billing
For your attention my tablet froze completely while running the accounting software,Technical Support,High,outlook email
Hello the company intranet is extremely slow when I try to file transfers,Technical Support,High,outlook email
Please help my refund for the returned printer has not arrived yet,Returns and Exchanges,Medium,exchange product
FYI i need a letter confirming my employment for payslip purposes,Human Resources,High,employment letter
For your attention the corporate card on my account needs to be updated urgently,Billing and Payments,Medium,refund billing
Requesting assistance the mouse was damaged during shipping and needs to be returned,Returns and Exchanges,Medium,replacement request
Need support the returned router was received but no refund was issued,Sales and Pre-Sales,Low,damaged item
Requesting assistance my disability insurance deduction seems higher than expected this month,Human Resources,High,reimbursement claim
Please help can your team provide a customized quote for security solution,Sales and Pre-Sales,High,proposal request
Reporting an issue i would like to learn more about the collaboration suite before purchasing,Sales and Pre-Sales,Medium,trial evaluation
Hi team my desktop froze completely while running Exchange,Technical Support,Critical,vpn network
Hello i suspect my docking station was infected while accessing the database,Technical Support,Critical,laptop hardware
The tablet I ordered arrived not working and I need a replacement,Returns and Exchanges,High,return label
Kindly assist the printer I ordered is faulty straight out of the box,Returns and Exchanges,Medium,store credit
Urgent i need help configuring the ERP system on my new notebook,Technical Support,Medium,wifi connection
Quick question i would like to apply for parental leave starting next month,Human Resources,Low,onboarding paperwork
Need support i am disputing a an extra fee that appeared on my bill,Billing and Payments,Medium,overcharge dispute
For your attention my Zoom mailbox is not syncing after the system update,Technical Support,High,cloud storage
Requesting assistance the tablet arrived late and is no longer needed,Returns and Exchanges,Medium,defective hardware
Following up the billing system charged me twice for the same monthly plan,Billing and Payments,Low,refund billing
Please help the replacement docking station I received is also damaged,Returns and Exchanges,Medium,shipping damage
Requesting assistance we need a scalable security solution solution for thirty users,Technical Support,Medium,enterprise plan
Requesting assistance requesting a return authorization for the defective printer,Returns and Exchanges,Medium,damaged item
Following up i would like to return the printer I received last week,Returns and Exchanges,Low,exchange product
For your attention i need to return the mouse as it is incompatible with my setup,Returns and Exchanges,Medium,replacement request
Hi team how do I exchange the scanner for the correct model,Sales and Pre-Sales,Medium,defective hardware
Need support there is an error in the holiday pay on my payslip,Human Resources,High,reimbursement claim
Hi team my salary slip shows an incorrect holiday pay,Returns and Exchanges,Low,enrollment benefits
Following up the tablet does not match what was described in my order,Returns and Exchanges,Medium,store credit
Kindly assist i would like to learn more about the monitoring platform before purchasing,Sales and Pre-Sales,Medium,quote pricing
